Date           Open    High    Low     Close   AdjCl   Volume
Jan 02, 2020   206.75   209.79   206.27   209.78   209.78   12077100
Dec 31, 2019   204.00   205.56   203.60   205.25   205.25   8953500
Dec 30, 2019   207.86   207.90   203.90   204.41   204.41   10524300
Dec 27, 2019   208.67   208.93   206.59   208.10   208.10   10284200
Dec 26, 2019   205.57   207.82   205.31   207.79   207.79   9350700
Dec 24, 2019   206.30   206.79   205.00   205.12   205.12   6046300
Dec 23, 2019   206.70   208.59   205.68   206.18   206.18   13348900
Dec 20, 2019   207.48   207.71   203.43   206.30   206.30   27306900
Dec 19, 2019   202.78   206.30   202.51   206.06   206.06   16514600
Dec 18, 2019   200.09   204.30   200.09   202.50   202.50   23274400
Dec 17, 2019   198.84   199.00   196.13   198.39   198.39   10175700
Dec 16, 2019   195.27   199.12   194.81   197.92   197.92   14911500
Dec 13, 2019   196.40   196.80   193.17   194.11   194.11   18798000
Dec 12, 2019   202.35   203.66   194.10   196.75   196.75   23734800
Dec 11, 2019   200.28   202.63   200.28   202.26   202.26   8036800
Dec 10, 2019   201.66   202.05   200.15   200.87   200.87   9475700
Dec 09, 2019   200.65   203.14   200.21   201.34   201.34   11954800
Dec 06, 2019   200.50   201.57   200.06   201.05   201.05   12270600
Dec 05, 2019   199.86   201.29   198.21   199.36   199.36   9740400
Dec 04, 2019   200.00   200.03   198.05   198.71   198.71   8456300
Dec 03, 2019   197.60   198.93   195.08   198.82   198.82   11595300
Dec 02, 2019   202.13   202.18   198.05   199.70   199.70   11503400
Nov 29, 2019   201.60   203.80   201.21   201.64   201.64   7985200
Nov 27, 2019   199.90   203.14   199.42   202.00   202.00   12736600
Nov 26, 2019   200.00   200.15   198.04   198.97   198.97   11735500
Nov 25, 2019   199.52   200.97   199.25   199.79   199.79   15272300
Nov 22, 2019   198.38   199.30   197.62   198.82   198.82   9959800
Nov 21, 2019   197.42   199.09   196.86   197.93   197.93   12131000
Nov 20, 2019   198.58   199.59   195.43   197.51   197.51   12355400
Nov 19, 2019   197.40   200.00   196.86   199.32   199.32   19056800
Nov 18, 2019   194.56   198.63   193.05   197.40   197.40   16167200
Nov 15, 2019   194.26   195.30   193.38   195.10   195.10   11524300
Nov 14, 2019   192.93   194.03   191.45   193.15   193.15   9040500
Nov 13, 2019   194.70   195.70   192.74   193.19   193.19   10860700
Nov 12, 2019   190.00   195.06   189.74   194.47   194.47   17615500
Nov 11, 2019   189.93   190.08   188.54   189.61   189.61   8631200
Nov 08, 2019   190.00   192.34   189.70   190.84   190.84   10760800
Nov 07, 2019   191.91   193.44   189.47   190.42   190.42   13473000
Nov 06, 2019   194.03   194.37   191.35   191.55   191.55   10973000
Nov 05, 2019   195.37   195.75   193.60   194.32   194.32   9942000
Nov 04, 2019   194.55   197.37   193.81   194.72   194.72   16371300
Nov 01, 2019   192.85   194.11   189.91   193.62   193.62   21711800
Oct 31, 2019   196.70   198.09   188.25   191.65   191.65   42286500
Oct 30, 2019   189.56   190.45   185.98   188.25   188.25   28734600
Oct 29, 2019   191.69   192.53   188.47   189.31   189.31   13574900
Oct 28, 2019   187.20   189.53   185.08   189.40   189.40   13657900
Oct 25, 2019   185.83   189.00   185.09   187.89   187.89   8061200
Oct 24, 2019   184.62   186.73   182.80   186.38   186.38   11413500
Oct 23, 2019   182.01   186.38   182.00   186.15   186.15   12300400
Oct 22, 2019   190.00   190.65   181.50   182.34   182.34   19537600
Oct 21, 2019   187.04   189.91   186.75   189.76   189.76   8122600
Oct 18, 2019   190.23   191.49   183.92   185.85   185.85   16874200
Oct 17, 2019   190.30   190.84   188.77   190.39   190.39   9603000
Oct 16, 2019   188.32   189.70   186.90   189.55   189.55   10516900
Oct 15, 2019   183.80   190.38   183.66   188.89   188.89   15039100
Oct 14, 2019   184.20   184.62   182.57   183.28   183.28   7006000
Oct 11, 2019   182.15   186.49   182.14   184.19   184.19   14930500
Oct 10, 2019   180.32   181.61   179.17   180.03   180.03   8605000
Oct 09, 2019   179.16   180.72   177.94   179.85   179.85   7556900
Oct 08, 2019   178.26   180.37   177.72   177.75   177.75   9466900
Oct 07, 2019   180.00   181.18   178.09   179.68   179.68   9178300
Oct 04, 2019   179.55   180.98   178.10   180.45   180.45   10430200
Oct 03, 2019   175.57   179.84   173.63   179.38   179.38   16086300
Oct 02, 2019   174.84   176.53   173.09   174.60   174.60   16151700
Oct 01, 2019   179.15   179.84   174.88   175.81   175.81   17073000
Sep 30, 2019   177.87   178.67   176.85   178.08   178.08   10740000
Sep 27, 2019   180.49   180.76   175.66   177.10   177.10   14656200
Sep 26, 2019   181.33   181.40   177.67   180.11   180.11   16083300
Sep 25, 2019   181.45   183.42   177.87   182.80   182.80   18068300
Sep 24, 2019   187.98   188.04   180.39   181.28   181.28   18546600
Sep 23, 2019   189.34   190.10   185.21   186.82   186.82   13327600
Sep 20, 2019   190.66   193.10   188.12   189.93   189.93   19934200
Sep 19, 2019   188.66   191.10   188.15   190.14   190.14   10392700
Sep 18, 2019   188.09   189.08   186.01   188.14   188.14   9681900
Sep 17, 2019   186.66   188.32   185.54   188.08   188.08   9671100
Sep 16, 2019   186.93   187.79   185.77   186.22   186.22   8444800
Sep 13, 2019   187.33   187.97   186.54   187.19   187.19   11441100
Sep 12, 2019   189.86   190.93   187.23   187.47   187.47   11419800
Sep 11, 2019   186.46   189.44   186.08   188.49   188.49   11761700
Sep 10, 2019   187.44   188.10   184.55   186.17   186.17   15455900
Sep 09, 2019   187.73   188.98   185.85   188.76   188.76   14722400
Sep 06, 2019   190.21   190.21   186.35   187.49   187.49   15226800
Sep 05, 2019   188.53   191.36   187.94   190.90   190.90   13876700
Sep 04, 2019   184.65   187.75   183.89   187.14   187.14   11308000
Sep 03, 2019   184.00   185.67   182.11   182.39   182.39   9779400
Aug 30, 2019   186.78   186.80   183.46   185.67   185.67   10774500
Aug 29, 2019   183.77   186.08   183.47   185.57   185.57   10128700
Aug 28, 2019   180.53   181.95   178.92   181.76   181.76   9386100
Aug 27, 2019   181.93   184.04   181.01   181.30   181.30   14399600
Aug 26, 2019   179.40   180.50   178.24   180.36   180.36   8773600
Aug 23, 2019   180.84   183.13   176.66   177.75   177.75   17323400
Aug 22, 2019   183.43   184.11   179.91   182.04   182.04   10821400
Aug 21, 2019   185.00   185.90   183.14   183.55   183.55   8398200
Aug 20, 2019   185.45   186.00   182.39   183.81   183.81   10083400
Aug 19, 2019   186.01   187.50   184.85   186.17   186.17   9691200
Aug 16, 2019   183.75   185.10   182.36   183.70   183.70   12654600
Aug 15, 2019   180.95   183.20   180.03   182.59   182.59   12925900
Aug 14, 2019   185.80   185.99   179.31   179.71   179.71   18903700
Aug 13, 2019   185.52   191.38   185.37   188.45   188.45   13577000
Aug 12, 2019   186.85   187.59   184.46   185.37   185.37   10936300
Aug 09, 2019   190.00   190.98   187.12   187.85   187.85   11058800
Aug 08, 2019   186.62   190.34   184.05   190.16   190.16   14828900
Aug 07, 2019   183.60   186.37   181.22   185.15   185.15   15833200
Aug 06, 2019   183.69   185.79   183.09   184.51   184.51   18035700
Aug 05, 2019   184.69   185.67   179.34   181.73   181.73   23086700
Aug 02, 2019   191.10   192.62   188.07   189.02   189.02   15297000
Aug 01, 2019   194.17   198.47   190.88   192.73   192.73   17777000
Jul 31, 2019   196.95   198.76   192.68   194.23   194.23   14593500
Jul 30, 2019   195.39   198.71   193.50   197.04   197.04   11903600
Jul 29, 2019   199.00   199.63   195.30   195.94   195.94   16530800
Jul 26, 2019   200.19   202.88   196.25   199.75   199.75   24434000
Jul 25, 2019   206.70   208.66   198.26   200.71   200.71   39889900
Jul 24, 2019   197.63   204.81   197.22   204.66   204.66   32532500
Jul 23, 2019   202.84   204.24   200.96   202.36   202.36   14583700
Jul 22, 2019   199.91   202.57   198.81   202.32   202.32   13589000
Jul 19, 2019   202.18   202.33   198.07   198.36   198.36   12098300
Jul 18, 2019   200.15   202.47   199.38   200.78   200.78   11956600
Jul 17, 2019   204.18   204.36   201.59   201.80   201.80   12083700
Jul 16, 2019   203.89   205.47   203.10   203.84   203.84   12132700
Jul 15, 2019   204.25   205.33   201.82   203.91   203.91   16030300
Jul 12, 2019   199.68   205.30   199.16   204.87   204.87   15366300
Jul 11, 2019   203.26   203.80   200.21   201.23   201.23   13678500
Jul 10, 2019   200.00   202.96   199.67   202.73   202.73   20571700
Jul 09, 2019   194.97   199.46   194.89   199.21   199.21   14698600
Jul 08, 2019   195.19   196.68   193.64   195.76   195.76   9723900
Jul 05, 2019   196.18   197.07   194.17   196.40   196.40   11164100
Jul 03, 2019   194.16   197.40   194.16   197.20   197.20   10246100
Jul 02, 2019   193.00   195.00   192.71   195.00   195.00   9050000
Jul 01, 2019   195.21   195.28   191.93   193.00   193.00   14204700
Jun 28, 2019   190.55   193.20   189.94   193.00   193.00   16378900
Jun 27, 2019   189.88   198.88   188.27   189.50   189.50   11159000
Jun 26, 2019   189.54   190.76   187.31   187.66   187.66   12808600
Jun 25, 2019   192.88   193.14   188.13   188.84   188.84   16750300
Jun 24, 2019   192.42   193.98   191.57   192.60   192.60   15509000
Jun 21, 2019   188.75   192.00   188.75   191.14   191.14   22751200
Jun 20, 2019   190.95   191.16   187.64   189.53   189.53   14635700
Jun 19, 2019   187.00   188.10   184.55   187.48   187.48   21417100
Jun 18, 2019   194.00   194.53   187.28   188.47   188.47   37571400
Jun 17, 2019   185.01   189.50   184.41   189.01   189.01   29459900
Jun 14, 2019   180.51   181.84   180.00   181.33   181.33   16773700
Jun 13, 2019   175.53   178.03   174.61   177.47   177.47   12253600
Jun 12, 2019   178.38   179.27   172.88   175.04   175.04   17681500
Jun 11, 2019   178.48   179.98   176.79   178.10   178.10   15266600
Jun 10, 2019   174.75   177.86   173.80   174.82   174.82   14767900
Jun 07, 2019   170.17   173.87   168.84   173.35   173.35   16917300
Jun 06, 2019   168.30   169.70   167.23   168.33   168.33   12446400
Jun 05, 2019   167.48   168.72   164.63   168.17   168.17   19758300
Jun 04, 2019   163.71   168.28   160.84   167.50   167.50   46044300
Jun 03, 2019   175.00   175.05   161.01   164.15   164.15   56059600
May 31, 2019   180.28   180.54   177.16   177.47   177.47   15226500
May 30, 2019   183.08   183.48   180.89   183.01   183.01   8581500
May 29, 2019   183.50   184.56   181.35   182.19   182.19   12797700
May 28, 2019   181.54   184.71   181.45   184.31   184.31   14843300
May 24, 2019   182.33   183.63   180.83   181.06   181.06   8807700
May 23, 2019   182.42   183.90   179.67   180.87   180.87   12768800
May 22, 2019   184.73   186.74   183.61   185.32   185.32   9213800
May 21, 2019   184.57   185.70   183.89   184.82   184.82   7502800
May 20, 2019   181.88   184.23   181.37   182.72   182.72   10352000
May 17, 2019   184.84   187.58   184.28   185.30   185.30   10485400
May 16, 2019   185.05   188.58   185.05   186.99   186.99   12953100
May 15, 2019   180.42   187.28   180.02   186.27   186.27   16746900
May 14, 2019   182.52   183.49   178.10   180.73   180.73   17628100
May 13, 2019   183.50   185.43   180.84   181.54   181.54   16833300
May 10, 2019   188.25   190.00   184.59   188.34   188.34   12578500
May 09, 2019   187.20   189.77   186.26   188.65   188.65   12967000
May 08, 2019   189.39   190.72   188.55   189.54   189.54   12505700
May 07, 2019   192.54   192.90   187.85   189.77   189.77   16253000
May 06, 2019   191.24   194.28   190.55   193.88   193.88   13994900
May 03, 2019   194.38   196.16   193.71   195.47   195.47   14575400
May 02, 2019   193.00   194.00   189.75   192.53   192.53   13209500
May 01, 2019   194.78   196.18   193.01   193.03   193.03   15996600
Apr 30, 2019   194.19   197.39   192.28   193.40   193.40   23494700
Apr 29, 2019   190.95   195.41   190.65   194.78   194.78   19641300
Apr 26, 2019   192.50   192.90   189.09   191.49   191.49   22075000
Apr 25, 2019   196.98   198.48   192.12   193.26   193.26   54148800
Apr 24, 2019   184.49   185.14   181.65   182.58   182.58   37289900
Apr 23, 2019   182.74   184.22   181.48   183.78   183.78   19954800
Apr 22, 2019   178.25   181.67   178.25   181.44   181.44   13389900
Apr 18, 2019   178.80   178.88   177.34   178.28   178.28   11655600
Apr 17, 2019   179.60   180.74   178.36   178.78   178.78   9973700
Apr 16, 2019   179.00   180.17   178.30   178.87   178.87   11215200
Apr 15, 2019   178.50   180.50   176.87   179.65   179.65   10834800
Apr 12, 2019   178.00   179.63   177.95   179.10   179.10   12329800
Apr 11, 2019   178.24   178.40   177.00   177.51   177.51   8071000
Apr 10, 2019   178.18   178.79   176.54   177.82   177.82   11701500
Apr 09, 2019   175.62   179.19   175.55   177.58   177.58   19751000
Apr 08, 2019   175.21   175.50   174.23   174.93   174.93   7297400
Apr 05, 2019   176.88   177.00   175.10   175.72   175.72   9594100
Apr 04, 2019   176.02   178.00   175.53   176.02   176.02   17847700
Apr 03, 2019   174.50   177.96   172.95   173.54   173.54   27590100
Apr 02, 2019   170.14   174.90   169.55   174.20   174.20   23946500
Apr 01, 2019   167.83   168.90   167.28   168.70   168.70   10381500
Mar 29, 2019   166.39   167.19   164.81   166.69   166.69   13455500
Mar 28, 2019   164.57   166.72   163.33   165.55   165.55   10689200
Mar 27, 2019   167.85   168.94   164.79   165.87   165.87   10620300
Mar 26, 2019   167.35   169.45   166.35   167.68   167.68   15437900
Mar 25, 2019   163.00   166.54   162.00   166.29   166.29   12631200
Mar 22, 2019   165.65   167.42   164.09   164.34   164.34   16389200
Mar 21, 2019   164.89   166.39   163.75   166.08   166.08   16223000
Mar 20, 2019   161.50   166.12   161.24   165.44   165.44   20211500
Mar 19, 2019   161.48   163.82   160.82   161.57   161.57   25611500
Mar 18, 2019   163.57   163.90   159.28   160.47   160.47   37524200
Mar 15, 2019   167.16   167.58   162.51   165.98   165.98   37135400
Mar 14, 2019   169.76   171.15   168.16   170.17   170.17   18037400
Mar 13, 2019   172.32   174.03   172.12   173.37   173.37   11973300
Mar 12, 2019   172.09   173.80   171.22   171.92   171.92   12155300
Mar 11, 2019   171.60   174.30   171.58   172.07   172.07   18884000
Mar 08, 2019   166.20   169.62   165.97   169.60   169.60   13184800
Mar 07, 2019   171.50   171.74   167.61   169.13   169.13   18306500
Mar 06, 2019   172.90   173.57   171.27   172.51   172.51   21531700
Mar 05, 2019   167.37   171.88   166.55   171.26   171.26   28187900
Mar 04, 2019   163.90   167.50   163.83   167.37   167.37   18894700
Mar 01, 2019   162.60   163.13   161.69   162.28   162.28   11097800
Feb 28, 2019   162.37   163.50   160.86   161.45   161.45   11114200
Feb 27, 2019   162.90   163.93   160.41   162.81   162.81   12697500
Feb 26, 2019   164.34   166.24   163.80   164.13   164.13   13784100
